#Char	Unicode	PinYin	src	ceftab	cnsunipy	HYDZD	hy1	unihanpy	unihandb	checked	modified
䧐	U+49D0	guo1	cefpytab	guo1	guo1					no	
䧑	U+49D1	di1	HYDZD		di1	di1				no	
䧒	U+49D2	lai2	HYDZD	lai2	lai2	lai2		lai2 lan3		no	
䧓	U+49D3	zhou1	HYDZD	zhou1	zhou1	zhou1				no	
䧔	U+49D4	nian4	HYDZD	nian4	nian4	nian4		mu4 nian4		no	
䧕	U+49D5	yu4	cefpytab	yu4	yu4			cheng2 yu4		no	
䧖	U+49D6	jian4	HYDZD	jian4	jian4	jian4		jian4		no	
䧗	U+49D7	bi4	HYDZD	bi4	bi4	bi4		bi4		no	
䧘	U+49D8	zhuan4	HYDZD	zhuan4	zhuan4	zhuan4		qi2 zhuan4		no	
䧙	U+49D9	ling2	cefpytab	ling2	ling2			ling2		no	
䧚	U+49DA	hao4	HYDZD	hao4	hao4	hao4		hao4		no	
䧛	U+49DB	bang4,peng2	HYDZD	bang4	bang1	bang4 peng2		bang4		no	
䧜	U+49DC	tang2	HYDZD	tang2	tang2	tang2		tang2		no	
䧝	U+49DD	chi1,zhi4	HYDZD	chi1	zhi4	chi1 zhi4		di4 yi2 zhi4		no	
䧞	U+49DE	ma4,fu4	HYDZD	ma4	ma4	ma4 fu4		fu4 ma4		no	
䧟	U+49DF	xian4	cefpytab	xian4	xian4			xian4 xuan4		no	
䧠	U+49E0	shuan4	HYDZD	shuan4	zhuan1	shuan4		shuan4		no	
䧡	U+49E1	yong1	cefpytab	yong1	yong1					no	
䧢	U+49E2	qu1,ou1	HYDZD	qu1	qu1	qu1 ou1				no	
䧣	U+49E3	yin1	cefpytab	yin1	yin1					no	
䧤	U+49E4	pu2	HYDZD	bu3	pu2	pu2		pu2		no	
䧥	U+49E5	hui4	HYDZD	hui4	hui4	hui4		hui4		no	
䧦	U+49E6	wei2	HYDZD		wei2	wei2		wei2		no	
䧧	U+49E7	yi3	HYDZD	yi3	yi3	yi3		yi3		no	
䧨	U+49E8	ye4	HYDZD	ye4	ye4	ye4		ye4		no	
䧩	U+49E9									no	
䧪	U+49EA	che4	HYDZD	che4	che4	che4		che4 zhe2		no	
䧫	U+49EB	hao2	unihanpy					hao2		no	
䧬	U+49EC	bin1	HYDZD		bing1	bin1				no	
䧭	U+49ED									no	
䧮	U+49EE	xian4,xian3	HYDZD	xian4	xian3	xian4 xian3		xian3 xian4		no	
䧯	U+49EF	chan2,zhan4	HYDZD	chan2	chan2	chan2 zhan4		chan2 zhan4		no	
䧰	U+49F0	hun4	HYDZD	hun4	hun4	hun4		hun4		no	
䧱	U+49F1	jiu1	cefpytab	jiu1	jiu1					no	
䧲	U+49F2	gan1	cefpytab	gan1	gan1			han4		no	
䧳	U+49F3	ci2,zhui1	HYDZD	ci1	ci2 ci2	ci2 zhui1		ci2 ci3		no	
䧴	U+49F4	zhi1	HYDZD	zhi1	zhi4 shi4	zhi1				no	
䧵	U+49F5	zhen4	cefpytab	zhen4	zhen4			qi2 shen3 zhen4		no	
䧶	U+49F6	kui2	cefpytab	kui2	kui2			kui2		no	
䧷	U+49F7	rou2	HYDZD	rong2	rou2	rou2		rou2		no	
䧸	U+49F8	gu1	cefpytab	gu1	gu1					no	
䧹	U+49F9	ying1	HYDZD	ying1	yan4	ying1				no	
䧺	U+49FA	xiong2	cefpytab	xiong2	xiong2			xiong2		no	
䧻	U+49FB	ge1	cefpytab	ge1	ge1					no	
䧼	U+49FC	hu2	cefpytab	hu2	gu3			hu2		no	
䧽	U+49FD	cui3	cefpytab	cui3	cui3			cui3		no	
䧾	U+49FE	shu1	cefpytab	shu1	shu1					no	
䧿	U+49FF	que4,xi1	HYDZD	que4	qiao3	que4 xi1		que4		no	
䨀	U+4A00	di2	cnsunipy		di2			di2 di4		no	
䨁	U+4A01	wu4	HYDZD	wu4	wu4	wu4		che4 wu4 yu4		no	
䨂	U+4A02	qiu1	HYDZD	qiu1	qiu1	qiu1				no	
䨃	U+4A03	yan4	cefpytab	yan4	yan4					no	
䨄	U+4A04	an1	cefpytab	an1	an1			yan4		no	
䨅	U+4A05	liao2	cefpytab	liao2	liao2			liao2		no	
䨆	U+4A06	bi4	cefpytab	bi4	bi4			bi2 bi4 xu4		no	
䨇	U+4A07	shuang1	cefpytab	shuang1	shuang1					no	
䨈	U+4A08	bin1	HYDZD	bin1	bing1	bin1				no	
䨉	U+4A09	ying1	cefpytab	ying1	ying1					no	
䨊	U+4A0A	yuan1	HYDZD	yuan1	yuan1	yuan1				no	
䨋	U+4A0B	nüe4	cefpytab	nüe4	nüe4			nüe4		no	
䨌	U+4A0C	bo2	cefpytab	bo2	bo2			bao2 bo2		no	
䨍	U+4A0D	ying3	HYDZD	ying3	ying3	ying3		ying3		no	
䨎	U+4A0E	weng1	cefpytab	weng1	hong2			hong2		no	
䨏	U+4A0F	ci2	cefpytab	ci2	zi2 ci2			ci2		no	
䨐	U+4A10	qia4	HYDZD	xia2	xia2	qia4		qia4 xia2		no	
䨑	U+4A11	ti2	HYDZD	ti2	ti2	ti2		ti2		no	
䨒	U+4A12	yu4	HYDZD	yu3	yu3	yu4		yu4		no	
䨓	U+4A13	lei2	cefpytab	lei2	lei2			lei2 lei4		no	
䨔	U+4A14	bao2	cefpytab	bao2	bo2			bao2		no	
䨕	U+4A15	yu1	cefpytab	yu1	yu1					no	
䨖	U+4A16	ji4	cefpytab	ji4	ji4			ji4		no	
䨗	U+4A17	fu2	HYDZD	fu2	fu2	fu2		fu2		no	
䨘	U+4A18	xian4	cefpytab	xian4	xian4			xian4		no	
䨙	U+4A19	yin2	cefpytab	yin2	yin2			cen2 ya4 yin2		no	
䨚	U+4A1A	hu1	HYDZD			hu1				no	
䨛	U+4A1B	se4,xi1	HYDZD	suo3	xi2	se4 xi1		se4		no	
䨜	U+4A1C	beng1	HYDZD	peng2	ben1	beng1				no	
䨝	U+4A1D	qing1	HYDZD	qing1	qing1	qing1				no	
䨞	U+4A1E	yu3,yu4	HYDZD	yu3	yu3	yu3 yu4		yu3 yu4		no	
䨟	U+4A1F	wa1	HYDZD	wa1	wa1	wa1				no	
䨠	U+4A20	ai3	HYDZD	ai4	ai3	ai3		ai3		no	
䨡	U+4A21	han2	cnsunipy		han2			han2		no	
䨢	U+4A22	dan4	HYDZD	dan4	dan4	dan4		dan4 di2 gao4 tan2		no	
䨣	U+4A23	ge2	HYDZD	po4	ge2	ge2		ge2 geng4		no	
䨤	U+4A24	di2	HYDZD		di2	di2		di2		no	
䨥	U+4A25	huo4,shuang1	HYDZD	huo4	huo4	huo4 shuang1		hu4 huo4		no	
䨦	U+4A26	pang2	cefpytab	pang2	pang2			pang2		no	
䨧	U+4A27	yin1	cefpytab	yin1	yin1					no	
䨨	U+4A28	zhui1	HYDZD	zhui1	zhui1	zhui1				no	
䨩	U+4A29	ling2	cefpytab	ling2	ling2			ling2		no	
䨪	U+4A2A	mai2	cefpytab	mai2	mai2			mai2		no	
䨫	U+4A2B	mai4	HYDZD	mai4	mo4	mai4		mai4 man4		no	
䨬	U+4A2C	lan2	cefpytab	lan2	lian2			lian2		no	
䨭	U+4A2D	xiao1	HYDZD	xiao1	xiao1	xiao1				no	
䨮	U+4A2E	xue3	cefpytab	xue3	xue3			xue3		no	
䨯	U+4A2F	zhen4	cefpytab	zhen4	zhen4			zhen4		no	
䨰	U+4A30	po4	HYDZD	po4	po4	po4		po4		no	
䨱	U+4A31	fu4	HYDZD	fu4	fu4	fu4		fu4		no	
䨲	U+4A32	nou2,wan4	HYDZD	nou2	nou2	nou2 wan4		nou2		no	
䨳	U+4A33	xi4,xi1	HYDZD	xi4	xi1	xi4 xi1		xi4		no	
䨴	U+4A34	dui4	HYDZD	dui4	dui4	dui4		dui4 weng4		no	
䨵	U+4A35	dan4	HYDZD	tan4	dan4	dan4		dan4		no	
䨶	U+4A36	yun3	cefpytab	yun3	yun3			yun3		no	
䨷	U+4A37	xian4	cefpytab	xian4	xian4			xian4		no	
䨸	U+4A38	yin3	HYDZD	yin3	yin3	yin3		yin3		no	
䨹	U+4A39	shu1	HYDZD	shu2	shu1	shu1				no	
䨺	U+4A3A	dui4	HYDZD	dui4	dui4	dui4		dui4 zhui4		no	
䨻	U+4A3B	beng4	HYDZD	beng4	ben4	beng4		beng4		no	
䨼	U+4A3C	hu4	HYDZD	hu4	hu4	hu4		hu4		no	
䨽	U+4A3D	fei3	HYDZD	fei3	fei3	fei3		fei3		no	
䨾	U+4A3E	fei4	HYDZD	fei4	fei4	fei4		fei3		no	
䨿	U+4A3F	za2	HYDZD	za2	za2	za2		qian2 za2		no	
䩀	U+4A40	bei4	HYDZD	bi4	bi4	bei4		bei4		no	
䩁	U+4A41	fei1	HYDZD	fei1	fei1	fei1				no	
䩂	U+4A42	xian1	HYDZD	xian1	xian1	xian1				no	
䩃	U+4A43	shi4	HYDZD	shi4	shi4	shi4		shi4		no	
䩄	U+4A44	tian3	unihanpy					tian3		no	
䩅	U+4A45	zhan3,nan3	HYDZD		zhan3	zhan3 nan3		zhan3		no	
䩆	U+4A46	zhan3	HYDZD	zha4	zha3	zhan3		jian3 zhan3		no	
䩇	U+4A47	zhan1,dian1	HYDZD	zhan1	dian1	zhan1 dian1				no	
䩈	U+4A48	hui4	HYDZD	hui4	hui4	hui4		hui4 wei4 xue3		no	
䩉	U+4A49	fu3	HYDZD	fu3	fu3	fu3		fu3		no	
䩊	U+4A4A	wan3,wo4	HYDZD	wan3	wan3	wan3 wo4		wan3 wo4		no	
䩋	U+4A4B	mo3	HYDZD	mo3	mo3	mo3		mo3		no	
䩌	U+4A4C	qiao2	HYDZD		qiao2	qiao2		qiao2		no	
䩍	U+4A4D	liao3	HYDZD	liao3	liao3	liao3		liao3		no	
䩎	U+4A4E									no	
䩏	U+4A4F	mie4	HYDZD	mie4	mie4	mie4		mie4		no	
䩐	U+4A50	hu1,ji2,ge2	HYDZD	hu1	xie2	hu1 ji2 ge2		ge2 ji2		no	
䩑	U+4A51	hong2	cefpytab	hong2	hong2			hong2		no	
䩒	U+4A52	yu2	HYDZD	yu2	yu2	yu2		yu2		no	
䩓	U+4A53	qi2	HYDZD	qi2	qi2	qi2		qi2		no	
䩔	U+4A54	duo4,shan1,pan2	HYDZD	duo4	pan2	duo4 shan1 pan2		duo4		no	
䩕	U+4A55	ang2,ying4	HYDZD	yang3	ang2	ang2 ying4		ang2		no	
䩖	U+4A56	sha1	cefpytab	sha1	sha1					no	
䩗	U+4A57	ba4	HYDZD			ba4		ba4		no	
䩘	U+4A58	di4	cefpytab	di4	di1			di4		no	
䩙	U+4A59	xuan4,xian3	HYDZD	xuan4	xuan4	xuan4 xian3		xuan4		no	
䩚	U+4A5A	di4,di1	HYDZD	di4	di1	di4 di1		di4 dian4		no	
䩛	U+4A5B	bi4,pei4	HYDZD	bi4	bi4	bi4 pei4		bi4		no	
䩜	U+4A5C	zhou4	HYDZD	zhou4	zhou4	zhou4		zhou4		no	
䩝	U+4A5D	pao2	HYDZD	pao2	bao1	pao2		pao2		no	
䩞	U+4A5E	tie2,die1	HYDZD	tie4	die2	tie2 die1		nian2 tian3 tie2 wei3		no	
䩟	U+4A5F	yi2,ti4	HYDZD	yi2	ti4	yi2 ti4		yi2		no	
䩠	U+4A60	ting1	cefpytab	ting1	ting1					no	
䩡	U+4A61	jia2,ge2	HYDZD	jia2	ge2	jia2 ge2		jia2		no	
䩢	U+4A62	zhi4,da2	HYDZD	zhe2	zhi4	zhi4 da2		da2 zhi4		no	
䩣	U+4A63	tu2	HYDZD	tu2	tu2	tu2		duo3 tu2 tui4		no	
䩤	U+4A64	xie2	HYDZD	xie2	xie2	xie2		xi4 xie2		no	
䩥	U+4A65	dan4,chan1	HYDZD		dan4	dan4 chan1		dan4		no	
䩦	U+4A66	tiao2	HYDZD	tiao2	tiao2	tiao2		tiao2 zuo4		no	
䩧	U+4A67	xie4	HYDZD	xue4	xue4	xie4		xie4		no	
䩨	U+4A68	chang4,zhang1	HYDZD	chang4	chang4	chang4 zhang1		chang4		no	
䩩	U+4A69	yuan3	HYDZD	wan3	wan3	yuan3		yuan3		no	
䩪	U+4A6A	guan3	HYDZD	guan3	guan3	guan3		guan3		no	
䩫	U+4A6B	liang3	HYDZD	liang4	liang3	liang3		liang3		no	
䩬	U+4A6C	beng3,feng3	HYDZD	beng3	ben3	beng3 feng3		beng3 feng3		no	
䩭	U+4A6D	ji1	cnsunipy		ji1					no	
䩮	U+4A6E	lu4	HYDZD	lu4	lu4	lu4		lu4		no	
䩯	U+4A6F	ji2,qi4	HYDZD	ji2	ji2	ji2 qi4		ji2		no	
䩰	U+4A70	ji2	cefpytab	ji2	ji2			xuan4		no	
䩱	U+4A71	shu4,yu2,shu1	HYDZD	yu2	shu1 shi1	shu4 yu2 shu1		shu4		no	
䩲	U+4A72	du1	HYDZD	du1	du1	du1				no	
䩳	U+4A73	sou1	HYDZD	sou1	sou1	sou1		shu3 su4		no	
䩴	U+4A74	hu2	HYDZD	hu2	hu2	hu2		hu2		no	
䩵	U+4A75	yun4	cefpytab	yun4	yun4			yun4		no	
䩶	U+4A76	chan3,chan3	HYDZD		chan3	chan3 chan3		chan3		no	
䩷	U+4A77	bang1	HYDZD	bang1	bang1	bang1				no	
䩸	U+4A78	rong2,rong3	HYDZD	rong2	rong2	rong2 rong3		rong2 rong3		no	
䩹	U+4A79	e2,kuo4	HYDZD	he2	kuo4	e2 kuo4		e2		no	
䩺	U+4A7A	weng1	HYDZD	weng1	weng1	weng1				no	
䩻	U+4A7B	ba4	cnsunipy		ba4			ba4		no	
䩼	U+4A7C	feng2	HYDZD	feng2	feng2	feng2		feng2		no	
䩽	U+4A7D	yu1	HYDZD	ou4	yu1	yu1				no	
䩾	U+4A7E	zhe4	HYDZD	zhe4	zhe4	zhe4		zhe4		no	
䩿	U+4A7F	fen2	cefpytab	fen2	fen2			fen2		no	
䪀	U+4A80	guan3	cefpytab	guan3	guan3			guan3 ruan3		no	
䪁	U+4A81	bu3	HYDZD	bo2	bu3	bu3		bu3		no	
䪂	U+4A82	ji2	cefpytab	ji2	ge2			ge2		no	
䪃	U+4A83	dun1	HYDZD	dun1	dun1	dun1				no	
䪄	U+4A84	huang2	cefpytab	huang2	huang2			huang2		no	
䪅	U+4A85	shu3	cefpytab	shu3	du2			du2		no	
䪆	U+4A86	ti3	HYDZD	ti3	ti3	ti3		ti3		no	
䪇	U+4A87	bo2	cefpytab	bo2	bo2			bo2		no	
䪈	U+4A88	qian4	HYDZD	qian4	qian4	qian4		qian3 qian4		no	
䪉	U+4A89	lie4	HYDZD	lie4	lie4	lie4		la4 lie4		no	
䪊	U+4A8A	long2	HYDZD	long2	long2	long2		long2		no	
䪋	U+4A8B	wei4	HYDZD	wei4	wei4	wei4		wei4		no	
䪌	U+4A8C	zhan4,shan1	HYDZD	chan2	chan2	zhan4 shan1		zhan4		no	
䪍	U+4A8D	lan2	cefpytab	lan2	lan2			lan2 lan4		no	
䪎	U+4A8E	sui1	HYDZD	sui1	sui1	sui1				no	
䪏	U+4A8F	na4,da1	HYDZD	na4	na4	na4 da1		na4 neng2		no	
䪐	U+4A90	bi4	HYDZD	bi4	bi4	bi4		bi4 pi4		no	
䪑	U+4A91	tuo2	cefpytab	tuo2	tuo2			tuo2		no	
䪒	U+4A92	zhu4	HYDZD	zhu4	zhu4	zhu4		jiao4 zhi4 zhu4		no	
䪓	U+4A93	die1	HYDZD	die2	die2	die1				no	
䪔	U+4A94	bu3,fu4	HYDZD	fu3	po4	bu3 fu4		bu3		no	
䪕	U+4A95	ju2	HYDZD	ju2	ju2	ju2		ju2		no	
䪖	U+4A96	fu4	cefpytab	fu4	fu4			po4		no	
䪗	U+4A97	xia2	HYDZD	xia2	xia2	xia2		xia2		no	
䪘	U+4A98	wei3,di1	HYDZD	wei3	wei3	wei3 di1		wei3		no	
䪙	U+4A99	po4,fu2,fu4	HYDZD	fu4	po4	po4 fu2 fu4		fu2 po4		no	
䪚	U+4A9A	da1,ta4	HYDZD	da1	da1	da1 ta4		he4 ta4		no	
䪛	U+4A9B	fan1,fan2	HYDZD	fan1	fan1 nodice	fan1 fan2		fan2		no	
䪜	U+4A9C	chan1,chan4,yan2	HYDZD	yan2	chan4	chan1 chan4 yan2		chan4		no	
䪝	U+4A9D	hu4	HYDZD	wo4	huo4	hu4		hu4		no	
䪞	U+4A9E	za2	HYDZD	za2	za2	za2		za2		no	
䪟	U+4A9F									no	
䪠	U+4AA0	ji1	cefpytab	ji1	ji1					no	
䪡	U+4AA1	ji1	cefpytab	ji1	ji1					no	
䪢	U+4AA2	ji1	cefpytab	ji1	ji1					no	
䪣	U+4AA3	ji1	cnsunipy		ji1					no	
䪤	U+4AA4	fan2	HYDZD	fan2	fan2	fan2		fan2		no	
䪥	U+4AA5	xie4	HYDZD	xie4	xie4	xie4		die2 xie4		no	
䪦	U+4AA6	hong2	HYDZD	hong2	hong2	hong2		hong2		no	
䪧	U+4AA7	chi2	HYDZD	chi2	chi2	chi2		chi2		no	
䪨	U+4AA8	bao2	HYDZD	bo2	bao2	bao2		bao2 qu2		no	
䪩	U+4AA9	yin2	cefpytab	yin2	yin2			yin2		no	
䪪	U+4AAA									no	
䪫	U+4AAB	jing1	HYDZD	jing1	jing1	jing1				no	
䪬	U+4AAC	bo2	HYDZD	bo2	bo2	bo2		bo2 pu2		no	
䪭	U+4AAD	ruan3	HYDZD	ruan3	ruan3	ruan3		ruan3		no	
䪮	U+4AAE	chou3	HYDZD	chou3	chou3	chou3		chou3		no	
䪯	U+4AAF	ying1	HYDZD	ying2	ying1	ying1		ying2		no	
䪰	U+4AB0	yi1	HYDZD	yi1	yi1	yi1				no	
䪱	U+4AB1	gai3,hai2	HYDZD		gai3	gai3 hai2		gai3		no	
䪲	U+4AB2	kun1	HYDZD			kun1				no	
䪳	U+4AB3	yun3	HYDZD	yi1	yun3	yun3		yun3		no	
䪴	U+4AB4	zhen3,dan3,dan4	HYDZD	zhen3	dan3	zhen3 dan3 dan4		zhen3		no	
䪵	U+4AB5	ya3	HYDZD		ya3	ya3		ya3		no	
䪶	U+4AB6	ju1	HYDZD	ju1	ju1	ju1				no	
䪷	U+4AB7	hou4,gou4	HYDZD	hou4	gou4	hou4 gou4		hou4		no	
䪸	U+4AB8	min2,men2	HYDZD	min2	min2	min2 men2		min2		no	
䪹	U+4AB9	bai1/pi1,pei2	HYDZD	pei2	bai1	bai1/pi1 pei2		pei2		no	
䪺	U+4ABA	ge2	cefpytab	ge2	ge2			ge2		no	
䪻	U+4ABB	bian4,fan4	HYDZD	bian4	bian4	bian4 fan4		bian4		no	
䪼	U+4ABC	zhuo1	HYDZD	zhuo2	zhuo2	zhuo1				no	
䪽	U+4ABD	hao4	HYDZD	hao4	hao4	hao4		hao4		no	
䪾	U+4ABE	zhen3	HYDZD	zhen3	zhen3	zhen3		mi2 zhen3		no	
䪿	U+4ABF	xin4	cefpytab	xin4	xin4			sheng3 xin4		no	
䫀	U+4AC0	gen3	HYDZD	gen3	gen3	gen3		gen3		no	
䫁	U+4AC1	bi4	HYDZD		bi4	bi4		bi4		no	
䫂	U+4AC2	duo3	HYDZD	duo3	duo3	duo3		duo3		no	
䫃	U+4AC3	chun2,zhen4	HYDZD	zhen4	zhen4	chun2 zhen4		chun2		no	
䫄	U+4AC4	chua4	HYDZD	chua4	chua4	chua4		chua4		no	
䫅	U+4AC5	san4	HYDZD	san4	san4	san4		san4		no	
䫆	U+4AC6	cheng2	HYDZD	cheng2	cheng2	cheng2		cheng2 zheng4		no	
䫇	U+4AC7	ran2	cefpytab	ran2	ran2			ran2		no	
䫈	U+4AC8	zen4,cen2	HYDZD	zen4	zen4	zen4 cen2		zen4		no	
䫉	U+4AC9	mao4	HYDZD	mao4	mao4	mao4		mao4		no	
䫊	U+4ACA	pei2	HYDZD	pei2	pei2	pei2		bo2 pei2		no	
䫋	U+4ACB	wei1,tui2	HYDZD	wei1	tui2	wei1 tui2		tui2		no	
䫌	U+4ACC	pi3	HYDZD	pi3	pi3	pi3		pi3		no	
䫍	U+4ACD	fu3	cefpytab	fu3	fu3			fu3		no	
䫎	U+4ACE	zhuo1	HYDZD	zhuo2	zhuo2	zhuo1				no	
䫏	U+4ACF	qi1	HYDZD	qi2	yi1	qi1				no	
䫐	U+4AD0	lin2	HYDZD	lin2	lin2	lin2		lin2		no	
䫑	U+4AD1	yi1,qi1	HYDZD	yi1	yi1	yi1 qi1				no	
䫒	U+4AD2	men2	HYDZD	men2	men2	men2		men2		no	
䫓	U+4AD3	wu2	cefpytab	wu2	wu1			wu2		no	
䫔	U+4AD4	qi4,qie4,ya4,kui2	HYDZD	qie4	kui2	qi4 qie4 ya4 kui2		qi4 qie4 xi4		no	
䫕	U+4AD5	die2	HYDZD	die2	die2	die2		zhi4		no	
䫖	U+4AD6	chen3,shen4	HYDZD	chen3	chen3	chen3 shen4		chen3 hui3 nou4 shen4 ting2 ya4 zhu4		no	
䫗	U+4AD7	xia2	HYDZD	xia2	xia2	xia2		xia2 xia4		no	
䫘	U+4AD8	he2,jie2,ke3	HYDZD	he2	ke3	he2 jie2 ke3		he2		no	
䫙	U+4AD9	sang3	cefpytab	sang3	sang3			sang3		no	
䫚	U+4ADA	gua1	HYDZD	gua1	gua1	gua1				no	
䫛	U+4ADB	hou2	HYDZD	hou2	hou2	hou2		hou2		no	
䫜	U+4ADC	ao1	HYDZD	ao1	ao1	ao1				no	
䫝	U+4ADD	fu4	cefpytab	fu4	fu4			fu3 fu4		no	
䫞	U+4ADE	qiao1,fen2	HYDZD	xiao1	fen2	qiao1 fen2		rao2		no	
䫟	U+4ADF	hun4	HYDZD	hun2	hun4	hun4		hun2 hun4		no	
䫠	U+4AE0	pi1	HYDZD	pei2	pi1	pi1		pei2		no	
䫡	U+4AE1	yan2,qian4,qian1,jian4	HYDZD	yan2	jian4	yan2 qian4 qian1 jian4		qian4 yan2		no	
䫢	U+4AE2	si1	HYDZD	si1	si1	si1				no	
䫣	U+4AE3	xi2	HYDZD	xi1	xi2	xi2		xi2		no	
䫤	U+4AE4	ming2	HYDZD	ming2	ming2	ming2		ming2		no	
䫥	U+4AE5	kui3	HYDZD	wei3	kui2	kui3		kui3 wei3		no	
䫦	U+4AE6	ge2,kai4	HYDZD	ge2	ge2	ge2 kai4		ge2 kai4		no	
䫧	U+4AE7	gao3	cnsunipy		gao3					no	
䫨	U+4AE8	ao2	cefpytab	ao2	ao2			ao4		no	
䫩	U+4AE9	san3	HYDZD	san3	san3	san3		san3		no	
䫪	U+4AEA	shuang3	HYDZD	shuang3	shuang3	shuang3		shuang3		no	
䫫	U+4AEB	lou2	HYDZD	lou2	lou2	lou2		lou2 lou4		no	
䫬	U+4AEC	zhen3,qin3	HYDZD	zhen3	qin3	zhen3 qin3		zhen3		no	
䫭	U+4AED	hui4	HYDZD	hui4	hui4	hui4		hui4		no	
䫮	U+4AEE	chan2	HYDZD	chan2	chan2	chan2		can2 can3 ti4		no	
䫯	U+4AEF	yi1	cefpytab	yi1	yi1					no	
䫰	U+4AF0	lin4	HYDZD	lin3	lin4	lin4		lin4		no	
䫱	U+4AF1	ru2	cefpytab	ru2	ru2			na2 ru2		no	
䫲	U+4AF2	han4,kan3	HYDZD	kan3	han4	han4 kan3		han4 kan3		no	
䫳	U+4AF3	du2	cefpytab	du2	du2			du2		no	
䫴	U+4AF4	jin4	HYDZD	jin4	jin4	jin4		jin4		no	
䫵	U+4AF5	mian2	HYDZD	mian2	mian2	mian2		mian2		no	
䫶	U+4AF6	fan2	HYDZD	fan2	fan2	fan2		fan2		no	
䫷	U+4AF7	e4	cefpytab	e4	e4			e4		no	
䫸	U+4AF8	chao1	HYDZD	chao1	nao2	chao1		nao2		no	
䫹	U+4AF9	hong2	cefpytab	hong2	hong2			hong2		no	
䫺	U+4AFA	hong2	HYDZD	hong2	hong2	hong2		hong2 hou4		no	
䫻	U+4AFB	yu4	HYDZD	yu4	yu4	yu4		xue2 yu4		no	
䫼	U+4AFC	xue4	HYDZD	xue4	xue4	xue4		xue4		no	
䫽	U+4AFD	pao1	HYDZD	pao1	pao1	pao1				no	
䫾	U+4AFE	bi1,bi4	HYDZD	pie1	bi4	bi1 bi4		bi4		no	
䫿	U+4AFF	chao1	HYDZD	chao1	chao1	chao1				no	
䬀	U+4B00	you3	HYDZD	you3	you3	you3		you3		no	
䬁	U+4B01	yi2	HYDZD	yi2	yi2	yi2		yi2		no	
䬂	U+4B02	xue4	HYDZD	yue4	xue4	xue4		xue4 yue4		no	
䬃	U+4B03	sa4	cefpytab	sa4	sa4			sa4		no	
䬄	U+4B04	xu4	HYDZD	xi2	xu1	xu4		yu4		no	
䬅	U+4B05	li4,lie4,xie2	HYDZD	xie2	li4	li4 lie4 xie2		li4 xie2		no	
䬆	U+4B06	li4	HYDZD	li4	li4	li4		li4		no	
䬇	U+4B07	yuan4	cefpytab	yuan4	yuan4			yuan4		no	
䬈	U+4B08	dui4	HYDZD	dui4	dui4	dui4		dui4		no	
䬉	U+4B09	huo4	HYDZD	huo4	huo4	huo4		hao4		no	
䬊	U+4B0A	sha4	HYDZD	sha4	sha4	sha4		qie4 sha4		no	
䬋	U+4B0B	leng2	HYDZD	leng2	leng2	leng2		leng2		no	
䬌	U+4B0C	pou1	HYDZD	pou1	pou1	pou1				no	
䬍	U+4B0D	hu1	HYDZD	hu1	hu1	hu1				no	
䬎	U+4B0E	guo2,xu4	HYDZD	guo2	guo2	guo2 xu4		guo2		no	
䬏	U+4B0F	bu4,fou3	HYDZD	fou3	fou3	bu4 fou3		bu4 fou3		no	
䬐	U+4B10	rui2	HYDZD	wei1	rui2	rui2		wei3		no	
䬑	U+4B11	wei4,yu4	HYDZD	wei4	wei4	wei4 yu4		wei4		no	
䬒	U+4B12	sou1,xiao1	HYDZD	sou1	sou1	sou1 xiao1				no	
䬓	U+4B13	an4	HYDZD	an4	an4	an4		an4 ang3		no	
䬔	U+4B14	yu2	HYDZD		yu2	yu2		xu4 yu2		no	
䬕	U+4B15	xiang1,shang3	HYDZD	qiang3	qiang3	xiang1 shang3		shang3		no	
䬖	U+4B16	heng2	cefpytab	heng2	heng2			heng2		no	
䬗	U+4B17	yang2	cefpytab	yang2	yang2			yang2		no	
䬘	U+4B18	xiao1	HYDZD	xiao1	xiao1	xiao1				no	
䬙	U+4B19	yao2	cefpytab	yao2	yao2			yao2		no	
䬚	U+4B1A	fan2	cefpytab	fan2	fan2					no	
䬛	U+4B1B	bi4	HYDZD	bi4	bi4	bi4		bi4 yu4		no	
䬜	U+4B1C	chi1	cefpytab	chi1	chi1					no	
䬝	U+4B1D	heng2	HYDZD	heng2	heng2	heng2		heng2 hong4		no	
䬞	U+4B1E	tao2	HYDZD	chou2	tao2	tao2		tao2		no	
䬟	U+4B1F	liu2,liu3	HYDZD	liu2	liu2	liu2 liu3		liu2		no	
䬠	U+4B20	fei1	cnsunipy		fei1					no	
䬡	U+4B21	zhu4	cefpytab	zhu4	zhu4			zhu4		no	
䬢	U+4B22	tao1	cefpytab	tao1	tao1					no	
䬣	U+4B23	xi4,qi4,ge1	HYDZD	qi4	qi4	xi4 qi4 ge1		qi4		no	
䬤	U+4B24	zan4,zhan1	HYDZD		zai4	zan4 zhan1		chao2 zan4 zuo4		no	
䬥	U+4B25	yi4	cefpytab	yi4	yi4			yi4		no	
䬦	U+4B26	dou4,she4	HYDZD	dou4	dou4	dou4 she4		dou4		no	
䬧	U+4B27	yuan2	HYDZD	yuan2	wan2	yuan2		yuan2		no	
䬨	U+4B28	jiu4	HYDZD	jiu4	jiu4	jiu4		cu4 jiu4 zu2		no	
䬩	U+4B29	zhai1	cnsunipy		zhai1					no	
